,duration,down,right,left,up
0,53.0,0.24528301886792453,0.22641509433962265,0.22641509433962265,0.3018867924528302
1,63.0,0.2698412698412698,0.20634920634920634,0.19047619047619047,0.3333333333333333
2,114.0,0.21929824561403508,0.3333333333333333,0.21052631578947367,0.23684210526315788
3,64.0,0.3125,0.171875,0.265625,0.25
4,115.0,0.3217391304347826,0.23478260869565218,0.13043478260869565,0.3130434782608696
5,122.0,0.22131147540983606,0.21311475409836064,0.2786885245901639,0.28688524590163933
6,67.0,0.23880597014925373,0.22388059701492538,0.26865671641791045,0.26865671641791045
7,30.0,0.3,0.26666666666666666,0.23333333333333334,0.2
8,165.0,0.30303030303030304,0.24242424242424243,0.21818181818181817,0.23636363636363636
9,16.0,0.5,0.0625,0.1875,0.25
10,36.0,0.3888888888888889,0.2222222222222222,0.19444444444444445,0.19444444444444445
11,12.0,0.5833333333333334,0.08333333333333333,0.25,0.08333333333333333
12,29.0,0.3103448275862069,0.13793103448275862,0.3103448275862069,0.2413793103448276
13,25.0,0.44,0.04,0.24,0.28
14,60.0,0.21666666666666667,0.2833333333333333,0.13333333333333333,0.36666666666666664
15,68.0,0.29411764705882354,0.25,0.16176470588235295,0.29411764705882354
16,143.0,0.2937062937062937,0.24475524475524477,0.1958041958041958,0.26573426573426573
17,64.0,0.234375,0.265625,0.171875,0.328125
18,71.0,0.2535211267605634,0.18309859154929578,0.29577464788732394,0.2676056338028169
19,51.0,0.17647058823529413,0.3137254901960784,0.21568627450980393,0.29411764705882354
20,71.0,0.2676056338028169,0.19718309859154928,0.323943661971831,0.2112676056338028
21,21.0,0.19047619047619047,0.38095238095238093,0.2857142857142857,0.14285714285714285
22,26.0,0.2692307692307692,0.15384615384615385,0.3076923076923077,0.2692307692307692
23,90.0,0.2111111111111111,0.24444444444444444,0.34444444444444444,0.2
24,38.0,0.15789473684210525,0.21052631578947367,0.18421052631578946,0.4473684210526316
25,77.0,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.2727272727272727
26,203.0,0.23645320197044334,0.2019704433497537,0.29064039408866993,0.270935960591133
27,42.0,0.3333333333333333,0.16666666666666666,0.11904761904761904,0.38095238095238093
28,48.0,0.16666666666666666,0.25,0.14583333333333334,0.4375
